Re,Criteria,Airfoil,Alpha,Value,Details
0.13,Optimized #5,franky 2,9.5,0.8002037061880496,"CL=1.81, L/D=59.2, Cp=-3.21"
0.13,Optimized #6,franky,9.0,0.7979804182003529,"CL=1.47, L/D=61.8, Cp=-4.07"
0.13,Optimized #7,franky,9.5,0.7955316614236209,"CL=1.50, L/D=59.4, Cp=-4.47"
0.13,Optimized #8,franky 2,9.0,0.794539453446772,"CL=1.79, L/D=59.7, Cp=-3.05"
0.13,Optimized #9,franky 2,12.0,0.7912987091117402,"CL=1.89, L/D=50.7, Cp=-4.67"
0.13,Optimized #10,franky,8.5,0.7909436790280414,"CL=1.44, L/D=63.1, Cp=-3.65"
0.16,Max CL,S1223,12.0,2.2176,CD=0.0455
0.16,Max CL/CD,franky,5.0,72.70025839793281,CL=1.1254
0.16,Min Cpmin,franky 2,19.5,-6.6835,-
0.16,Optimized #1,franky 2,10.5,0.8171128880171453,"CL=1.88, L/D=64.8, Cp=-3.92"
0.16,Optimized #2,franky 2,10.0,0.8132578298924651,"CL=1.85, L/D=66.2, Cp=-3.58"
0.16,Optimized #3,franky 2,11.0,0.8125512066831839,"CL=1.89, L/D=62.7, Cp=-4.21"
0.16,Optimized #4,franky 2,9.5,0.8071015407323183,"CL=1.82, L/D=67.3, Cp=-3.25"
0.16,Optimized #5,franky 2,11.5,0.7979629151493884,"CL=1.89, L/D=59.3, Cp=-4.48"
0.16,Optimized #6,franky 2,9.0,0.7971793754899935,"CL=1.79, L/D=67.4, Cp=-3.07"
0.16,Optimized #7,franky 2,8.5,0.7910614563736567,"CL=1.75, L/D=68.0, Cp=-2.90"
0.16,Optimized #8,franky,9.0,0.7878101734599069,"CL=1.48, L/D=67.6, Cp=-4.12"
0.16,Optimized #9,franky,8.5,0.7871414360586418,"CL=1.44, L/D=69.9, Cp=-3.70"
0.16,Optimized #10,franky,9.5,0.7786505003493545,"CL=1.50, L/D=63.9, Cp=-4.54"
0.2,Max CL,S1223,13.0,2.2314,CD=0.0442
0.2,Max CL/CD,franky,6.0,80.28104575163398,CL=1.2283
0.2,Min Cpmin,franky 2,19.0,-6.7806,-
0.2,Optimized #1,franky 2,10.5,0.8149554135830217,"CL=1.88, L/D=71.7, Cp=-3.95"
0.2,Optimized #2,franky 2,10.0,0.8146202070731993,"CL=1.85, L/D=73.6, Cp=-3.62"
0.2,Optimized #3,franky 2,9.5,0.8074111582073993,"CL=1.83, L/D=74.7, Cp=-3.27"
0.2,Optimized #4,franky 2,11.0,0.80539414023125,"CL=1.89, L/D=68.4, Cp=-4.25"
0.2,Optimized #5,franky 2,9.0,0.8049674651860184,"CL=1.79, L/D=75.9, Cp=-3.09"
0.2,Optimized #6,franky 2,8.5,0.7956086871136199,"CL=1.75, L/D=76.1, Cp=-2.91"
0.2,Optimized #7,franky 2,8.0,0.7873470485510894,"CL=1.71, L/D=76.5, Cp=-2.74"
0.2,Optimized #8,franky 2,11.5,0.7846389498129633,"CL=1.90, L/D=63.6, Cp=-4.53"
0.2,Optimized #9,franky 2,7.5,0.7780452456103084,"CL=1.67, L/D=76.7, Cp=-2.56"
0.2,Optimized #10,franky,8.5,0.7759324456992989,"CL=1.45, L/D=75.7, Cp=-3.74"
0.201,Max CL,AG14,24.9,1.2648,CD=0.3521
0.201,Max CL/CD,RG 14 AIRFOIL,4.5,64.9387370405278,CL=0.6890
0.201,Min Cpmin,AG14,8.6,-6.2198,-
0.201,Optimized #1,AG14,7.1,0.7699034881270341,"CL=0.98, L/D=48.4, Cp=-5.12"
0.201,Optimized #2,AG14,6.9,0.7692694267464638,"CL=0.96, L/D=50.0, Cp=-4.86"
0.201,Optimized #3,AG14,6.8,0.7682684138643406,"CL=0.95, L/D=50.7, Cp=-4.72"
0.201,Optimized #4,AG14,6.6,0.7675824692246368,"CL=0.93, L/D=52.2, Cp=-4.48"
0.201,Optimized #5,AG14,6.4,0.7674828456870111,"CL=0.92, L/D=53.8, Cp=-4.24"
0.201,Optimized #6,AG14,7.2,0.7652293857959337,"CL=0.99, L/D=47.0, Cp=-5.24"
0.201,Optimized #7,AG14,7.0,0.7630090136595966,"CL=0.97, L/D=48.4, Cp=-4.97"
0.201,Optimized #8,AG14,6.2,0.7629877892680633,"CL=0.90, L/D=54.9, Cp=-3.98"
0.201,Optimized #9,AG14,6.7,0.7628237239345829,"CL=0.94, L/D=50.8, Cp=-4.60"
0.201,Optimized #10,AG14,6.5,0.7610138906205244,"CL=0.92, L/D=52.2, Cp=-4.36"
0.207,Max CL,S1223,13.1,2.2428,CD=0.0440
0.207,Max CL/CD,SD7032-099-88,4.8,79.44259567387687,CL=0.9549
0.207,Min Cpmin,SD7032-099-88,15.1,-6.6228,-
0.207,Optimized #1,S1223,11.1,0.7853620153500092,"CL=2.20, L/D=60.1, Cp=-3.73"
0.207,Optimized #2,S1223,11.2,0.7853059698366769,"CL=2.21, L/D=59.6, Cp=-3.77"
0.207,Optimized #3,S1223,9.0,0.7844899097882854,"CL=2.11, L/D=64.9, Cp=-3.13"
0.207,Optimized #4,S1223,11.0,0.7843266558644014,"CL=2.19, L/D=60.3, Cp=-3.69"
0.207,Optimized #5,S1223,9.1,0.7838531054927385,"CL=2.12, L/D=64.4, Cp=-3.17"
0.207,Optimized #6,S1223,8.9,0.7836286209857732,"CL=2.10, L/D=65.1, Cp=-3.09"
0.207,Optimized #7,S1223,10.9,0.7833626628767059,"CL=2.19, L/D=60.4, Cp=-3.66"
0.207,Optimized #8,S1223,11.3,0.7830795431086421,"CL=2.22, L/D=59.1, Cp=-3.80"
0.207,Optimized #9,S1223,10.8,0.7824134204585379,"CL=2.18, L/D=60.5, Cp=-3.63"
0.207,Optimized #10,S1223,8.8,0.7823032005597794,"CL=2.09, L/D=65.2, Cp=-3.06"
