Timestamp,Message Type,Voltage (V),Current (A),Remaining (%),Servo1 Output,Servo2 Output,Servo3 Output,Servo4 Output,Altitude (m),Roll,Pitch,Yaw,Acceleration Z (m/s^2),ESC Data,ESC Info
1771010309,RC_CHANNELS,,,,,,,,,,,,,,
1771010309,GPS_RAW_INT,,,,,,,,,,,,,,
1771010309,ATTITUDE,,,,,,,,,0.008759477,-0.010155994,-0.022521649,,,
1771010309,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010309,ATTITUDE,,,,,,,,,0.008260353,-0.00986019,-0.022499174,,,
1771010309,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010310,VFR_HUD,,,,,,,,,,,,,,
1771010310,ATTITUDE,,,,,,,,,0.008052133,-0.009494188,-0.022467609,,,
1771010310,HEARTBEAT,,,,,,,,,,,,,,
1771010310,ATTITUDE_TARGET,,,,,,,,,,,,,,
1771010310,MISSION_CURRENT,,,,,,,,,,,,,,
1771010310,RC_CHANNELS,,,,,,,,,,,,,,
1771010310,GPS_RAW_INT,,,,,,,,,,,,,,
1771010310,ATTITUDE,,,,,,,,,0.007859886,-0.009381636,-0.022429716,,,
1771010310,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010310,ATTITUDE,,,,,,,,,0.007843561,-0.009326217,-0.02249895,,,
1771010310,GPS_STATUS,,,,,,,,,,,,,,
1771010310,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010310,ATTITUDE,,,,,,,,,0.007581817,-0.008963875,-0.02251507,,,
1771010310,VFR_HUD,,,,,,,,,,,,,,
1771010310,RC_CHANNELS,,,,,,,,,,,,,,
1771010310,GPS_RAW_INT,,,,,,,,,,,,,,
1771010311,ATTITUDE,,,,,,,,,0.008565301,-0.008440673,-0.022240119,,,
1771010311,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010311,HEARTBEAT,,,,,,,,,,,,,,
1771010311,MISSION_CURRENT,,,,,,,,,,,,,,
1771010311,ATTITUDE,,,,,,,,,0.007804083,-0.00720129,-0.022794914,,,
1771010311,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010311,ATTITUDE,,,,,,,,,0.007474896,-0.006502623,-0.022918725,,,
1771010311,RC_CHANNELS,,,,,,,,,,,,,,
1771010311,GPS_RAW_INT,,,,,,,,,,,,,,
1771010311,ATTITUDE,,,,,,,,,0.00710186,-0.006393882,-0.02315226,,,
1771010311,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
1771010311,VFR_HUD,,,,,,,,,,,,,,
1771010311,ATTITUDE_TARGET,,,,,,,,,,,,,,
1771010311,ATTITUDE,,,,,,,,,0.007299026,-0.006090234,-0.022194389,,,
1771010312,ALTITUDE,,,,,,,,586.4654541,,,,,,
1771010312,EXTENDED_SYS_STATE,,,,,,,,,,,,,,
1771010312,LOCAL_POSITION_NED,,,,,,,,,,,,,,
1771010312,SCALED_PRESSURE,,,,,,,,,,,,,,
1771010312,SERVO_OUTPUT_RAW,,,,519,570,545,596,,,,,,,
1771010312,SYS_STATUS,,,,,,,,,,,,,,
1771010312,UNKNOWN_8,,,,,,,,,,,,,,
1771010312,ATTITUDE_QUATERNION,,,,,,,,,,,,,,
